food_code,name,group,protein,fat,carbs,energy,fibre
F002258,"Cardamom seed, dried, ground",31302,10.8,6.7,34.4,1236,28.0
F002893,"Chilli (chili), dried, ground",31302,13.4,14.3,14.9,1280,34.8
F002963,"Cinnamon, dried, ground",31302,4.0,1.2,27.5,1004,53.1
F002970,"Cloves, dried, ground",31302,6.0,13.0,31.6,1389,33.9
F003190,"Coriander seed, dried, ground",31302,12.4,17.8,8.4,1344,41.9
F003327,"Cumin (cummin) seed, dried, ground",31302,17.8,22.3,33.7,1782,10.5
F003337,Curry powder,31302,14.3,14.0,2.8,1231,53.2
F003821,"Fenugreek seed, dried",31302,23.0,6.4,4.2,1080,47.6
F004210,"Ginger, dried, ground",31302,9.0,4.2,57.5,1397,14.1
F005972,Mustard powder,31302,29.4,39.5,17.2,2289,5.0
F006118,"Nutmeg, dried, ground",31302,5.8,36.3,28.5,2090,20.8
F006281,"Oregano, dried",31302,9.0,4.3,26.4,1096,42.5
F006316,"Paprika, dry powder",31302,14.1,12.9,19.1,1311,34.9
F006618,"Pepper, black, ground",31302,10.4,3.3,38.6,1156,25.3
F007715,"Rosemary, dried",31302,4.9,15.2,20.4,1314,42.6
F007726,"Sage, dried",31302,10.6,12.8,20.4,1320,40.3
F009160,"Thyme, dried, ground",31302,9.1,7.4,26.9,1182,37.0
F009335,"Turmeric, dried, ground",31302,9.7,3.2,44.4,1219,22.7
F007870,"Salt substitute, potassium chloride",31301,0.0,0.0,0.0,0,0.0
F007878,"Salt, table, iodised",31301,0.0,0.0,0.0,0,0.0
F007879,"Salt, table, non-iodised",31301,0.0,0.0,0.0,0,0.0
F008933,"Stock, dry powder or cube",31303,11.3,8.9,22.5,900,0.0
F009072,"Taco seasoning mix, chilli-based",31303,5.9,4.1,39.7,1010,9.9
F000247,"Baking powder, dry powder",31501,0.8,0.3,19.8,365,0.4
F000248,"Baking soda (bicarbonate), dry powder",31501,0.0,0.0,0.0,0,0.0
F003250,"Cream of tartar, dry powder",31501,0.0,0.0,0.0,2,0.2
F004196,"Gelatine, all types",31502,84.4,0.4,0.0,1449,0.0
F004220,"Gluten, from wheat (vital wheat gluten)",12103,75.2,0.0,13.2,1507,0.6
F008831,"Starch, potato",24102,0.0,0.5,74.5,1332,5.9
F009351,"Vanilla, artificial or imitation",31401,0.0,0.0,14.4,231,0.0
F009350,Vanilla bean extract,31401,0.1,0.1,12.6,1203,0.0
F009606,"Yeast, dry powder",31101,36.4,5.0,6.3,1126,26.9
F000996,"Beer, high alcohol (5% v/v & above)",29101,0.5,0.0,2.1,174,0.0
F000994,"Beer, full strength (alcohol 4-4.9% v/v)",29101,0.4,0.0,2.3,152,0.0
F000995,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",29101,0.3,0.0,1.0,126,0.0
F001006,"Beer, mid-strength (alcohol 3-3.9% v/v)",29102,0.3,0.0,2.2,128,0.0
F001004,"Beer, light (alcohol 1- less than 3% v/v)",29102,0.2,0.0,2.2,100,0.0
F000051,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",29301,0.0,0.0,0.1,892,0.0
F000050,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",29301,0.0,0.0,0.3,302,0.0
F002955,"Cider, apple (alcohol approximately 4-5% v/v)",29401,0.0,0.0,5.6,209,0.0
F009572,"Wine, red, cabernet sauvignon",29201,0.3,0.0,0.2,332,0.0
F009574,"Wine, red, merlot",29201,0.3,0.0,0.4,330,0.0
F009575,"Wine, red, pinot noir",29201,0.2,0.0,0.2,321,0.0
F009577,"Wine, red, shiraz",29201,0.2,0.0,0.2,342,0.0
F009571,"Wine, red",29201,0.2,0.0,0.2,335,0.0
F009573,"Wine, red, cooked",29201,0.3,0.0,0.2,121,0.0
F009578,"Wine, red, sparkling",29201,0.2,0.0,2.0,338,0.0
F009579,"Wine, rose",29201,0.2,0.0,0.7,289,0.0
F009583,"Wine, white, sauvignon blanc",29202,0.2,0.0,0.1,296,0.0
F009584,"Wine, white, semillon",29202,0.2,0.0,0.2,270,0.0
F009582,"Wine, white, chardonnay",29202,0.3,0.0,0.3,311,0.0
F009586,"Wine, white, riesling",29202,0.2,0.0,0.4,292,0.0
F009581,"Wine, white",29202,0.3,0.0,0.2,301,0.0
F009580,"Wine, white, cooked",29202,0.2,0.0,0.3,107,0.0
F009590,"Wine, white, sparkling",29202,0.2,0.0,1.0,306,0.0
F009592,"Wine, white, sweet dessert style",29202,0.4,0.0,14.7,497,0.0
F009566,"Wine, fortified, port",29203,0.2,0.0,12.4,600,0.0
F009567,"Wine, fortified, sherry, dry style (approximately 1% sugars)",29203,0.1,0.0,1.2,435,0.0
F009568,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",29203,0.2,0.0,11.1,577,0.0
F002980,Cocoa powder,11804,20.5,15.2,10.5,1307,27.7
F001029,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)",11802,12.7,10.4,61.2,1666,9.1
F001068,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",11801,4.2,4.0,10.9,405,0.8
F001036,"Beverage base, drinking chocolate, unfortified",11804,5.6,4.8,76.3,1508,1.5
F001064,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",11803,3.5,3.5,10.8,366,0.1
F003060,"Coffee, instant, dry powder or granules",11205,18.0,0.3,3.6,588,20.6
F003017,"Coffee, black, from instant coffee powder",11201,0.2,0.0,0.0,5,0.2
F003061,"Coffee, instant, dry powder or granules, decaffeinated",11205,18.0,0.3,2.5,522,20.6
F003018,"Coffee, black, from instant coffee powder, decaffeinated",11203,0.2,0.0,0.0,5,0.2
F003041,"Coffee, espresso, from ground coffee beans",11201,1.7,0.3,0.0,40,0.0
F003036,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk",11202,3.0,2.7,4.9,229,0.0
F003048,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk",11202,3.0,2.8,4.8,234,0.0
F003065,"Coffee, long black, from ground coffee beans",11201,0.3,0.1,0.0,8,0.0
F003130,"Cordial base, 25% citrus fruit juice, regular",11403,0.0,0.0,37.3,606,0.0
F003158,"Cordial, 25% citrus fruit juice, regular, recommended dilution",11401,0.0,0.0,8.7,142,0.0
F003135,"Cordial base, 40% citrus fruit juice, regular",11403,0.2,0.0,40.2,659,0.0
F003160,"Cordial, 40% citrus fruit juice, regular, recommended dilution",11401,0.0,0.0,9.4,154,0.0
F003128,"Cordial base, 5% blackcurrant juice, regular",11403,0.1,0.0,57.0,923,0.0
F003156,"Cordial, 25% blackcurrant juice, regular, recommended dilution",11401,0.0,0.0,11.8,191,0.0
F004099,"Fruit drink, apple juice",11307,0.0,0.0,9.8,162,0.0
F004102,"Fruit drink, cranberry",11307,0.0,0.0,11.3,182,0.1
F004114,"Fruit drink, orange juice",11307,0.2,0.0,10.4,177,0.0
F004663,"Juice, apple, commercial, added vitamin C",11301,0.2,0.0,7.0,121,0.2
F004656,"Juice, apple & blackcurrant, commercial",11301,0.2,0.0,9.3,163,0.0
F004726,"Juice, lemon",11301,0.6,0.2,1.8,115,2.5
F004729,"Juice, lime",11301,0.8,0.2,1.2,122,4.1
