normalized_name,counts,food,notes,food_au,notes_au
garlic,1802,"Garlic, raw",,"Garlic, peeled, fresh, raw",
onion,1794,"Onions, raw",,"Onion, mature, brown skinned, peeled, raw",
tomato,1489,"Tomatoes, standard, raw",,"Tomato, common, raw",
carrot,1011,"Carrots, old, raw",,"Carrot, mature, peeled, fresh, raw",
unsalted butter,975,"Butter, unsalted",,"Butter, plain, no added salt",
butter,955,"Butter, unsalted",,"Butter, plain, no added salt",
sugar,859,"Sugar, white",,"Sugar, white, granulated or lump",
salt,795,Salt,,"Salt, table, non-iodised",
scallion,788,"Spring onions, bulbs and tops, raw",,"Onion, spring, fresh, raw",
olive oil,787,"Oil, olive",,"Oil, olive",
potato,776,"Potatoes, old, raw, flesh only",,"Potato, pale skin, peeled, raw",
egg,727,"Eggs, chicken, whole, raw",,"Egg, chicken, whole, raw",
parsley,711,"Parsley, fresh",,"Parsley, continental, fresh, raw",
ginger,649,"Ginger, fresh",,"Ginger, peeled, fresh, raw",
lemon,595,"Lemons, peeled, flesh only",,"Lemon, peeled, raw",
water,550,"Water, distilled",,"Water, tap",
mushroom,532,"Mushrooms, white, raw",,"Mushroom, common, fresh, raw",
shallot,520,"Shallots, raw",,"Shallot, peeled, fresh, raw",
flour,477,"Flour, wheat, white, plain, soft",,"Flour, wheat, white, plain",
all purpose flour,476,"Flour, wheat, white, plain, soft",,"Flour, wheat, white, plain",
thyme,470,"Thyme, fresh",,,missing
leek,467,"Leeks, raw",,"Leek, fresh, raw",
celery,442,"Celery, raw",,"Celery, fresh, raw",
extra virgin olive oil,430,"Oil, olive",,"Oil, olive",
cilantro,407,"Coriander leaves, fresh",,"Coriander, fresh, leaves & stems",
shrimp,407,"Prawns, king, raw",,"Prawn, flesh, raw (green)",
chicken,390,"Chicken, meat, average, raw",,"Chicken, breast, lean flesh, raw",
milk,389,"Milk, semi-skimmed, pasteurised, average",,"Milk, cow, fluid, regular fat (3.5% fat)",
lemon juice,387,"Lemon juice, fresh",,"Juice, lemon",
basil,374,"Basil, fresh",,"Basil, green, raw",
chicken stock,369,"Stock, chicken, ready made, retail",,,missing
oil,368,"Oil, vegetable, average",,"Oil, vegetable",
basil leaf,348,"Basil, fresh",,"Basil, green, raw",
apple,340,"Apples, eating, raw, flesh and skin",,"Apple, granny-smith, unpeeled, raw",
red onion,329,"Onions, raw",,"Onion, mature, brown skinned, peeled, raw",
almond,326,,missing,"Nut, almond, with skin, raw, unsalted",
black pepper,323,"Pepper, black",,"Pepper, black, ground",
zucchini,319,"Courgette, raw",,"Zucchini, green skin, fresh, unpeeled, raw",
plum tomato,317,"Tomatoes, standard, raw",,"Tomato, common, raw",
rosemary,310,"Rosemary, fresh",,"Rosemary, fresh, raw",
red bell pepper,299,"Pepper, capsicum, red, raw",,"Capsicum, red, fresh, raw",
bacon,296,"Bacon rashers, streaky, raw",,"Bacon, middle rasher, untrimmed, raw",
orange,290,"Oranges, flesh only",,"Orange, peeled, raw",
chicken broth,284,"Stock, chicken, ready made, retail",broth is very similar to stock,,missing
cucumber,275,"Cucumber, raw, flesh and skin",,"Cucumber, common, unpeeled, raw",
bread crumb,272,,missing,"Breadcrumbs, white",
bread,266,"Bread, white, premium",,"Bread, from white flour",
lime,264,"Limes, flesh only",,"Lime, peeled, raw",
red pepper,264,"Pepper, capsicum, red, raw",,"Capsicum, red, fresh, raw",
kosher salt,257,Salt,,"Salt, table, non-iodised",
chive,256,"Chives, fresh",,"Chives, raw",
mint,253,"Mint, fresh",,"Mint, fresh, raw",
garlic clove,252,"Garlic, raw",,"Garlic, peeled, fresh, raw",
vegetable oil,246,"Oil, vegetable, average",,"Oil, vegetable",
heavy cream,246,"Cream, fresh, double, including Jersey cream",,"Cream, thickened, regular fat (approximately 35%)",
walnut,240,"Walnuts, kernel only",,"Nut, walnut, raw, unsalted",
chicken breast,239,"Chicken, meat, average, raw",,"Chicken, breast, lean flesh, raw",
eggplant,234,"Aubergine, raw",add UK terms too!,"Eggplant, unpeeled, fresh, raw",
pepper,229,"Pepper, capsicum, red, raw",,"Capsicum, red, fresh, raw",
rice,227,"Rice, white, basmati, raw",,"Rice, white, uncooked",
soy sauce,225,"Soy sauce, light and dark varieties",,"Sauce, soy, commercial",
cinnamon,222,"Cinnamon, ground",,"Cinnamon, dried, ground",
spinach,222,"Spinach, mature, raw",,"Spinach, Mature English, fresh, raw",
lime juice,220,"Lime juice, fresh",,"Juice, lime",
mint leaf,216,"Mint, fresh",,"Mint, fresh, raw",
stock,211,"Stock, chicken, ready made, retail",,,missing
brown sugar,201,"Sugar, brown",,"Sugar, brown",
parmesan cheese,200,"Cheese, Parmesan, fresh",,"Cheese, parmesan, fresh",
fennel,198,"Fennel, Florence, raw",,"Fennel, fresh, raw",
red pepper flake,196,,missing,,missing
dill,194,"Dill, fresh",,"Dill, fresh, raw",
parmesan,185,"Cheese, Parmesan, fresh",,"Cheese, parmesan, fresh",
chocolate,183,"Chocolate, plain",,"Chocolate, dark, high cocoa solids",
caper,177,,missing,"Capers, pickled, canned, drained",
anchovy,175,"Anchovies, canned in oil, drained",,"Anchovy, canned in oil, drained",
jalapeno pepper,174,,missing,"Chilli (chili), red, raw",
coriander,173,"Coriander leaves, fresh",,"Coriander, fresh, leaves & stems",
yogurt,172,"Yogurt, low fat, plain",,,missing
beef,168,"Beef, braising steak, raw, lean and fat",,"Beef, diced, lean, raw",
oregano,167,"Oregano, fresh",,"Oregano, dried",
confectioner sugar,165,"Sugar, icing",,"Sugar, white, icing",
corn,163,"Sweetcorn, kernels, raw",,"Corn, kernels, canned in brine, drained",
salmon,162,"Salmon, farmed, flesh only, raw",,"Salmon, Atlantic, fillet, raw",
tarragon,162,"Tarragon, fresh",,,missing
asparagus,161,"Asparagus, raw",,"Asparagus, green, raw",
sage,160,"Sage, fresh",,,missing
jalapeno,159,,missing,,missing
strawberry,159,"Strawberries, raw",,"Strawberry, raw",
celery rib,157,"Celery, raw",,"Celery, fresh, raw",
pork,156,"Pork, fillet, raw, lean and fat",,"Pork, diced, untrimmed, raw",
cheese,155,"Cheese, white, average",,"Cheese, cheddar, natural, regular fat",
nutmeg,155,"Nutmeg, ground",,"Nutmeg, dried, ground",
pea,154,"Peas, raw",,"Pea, green, fresh, raw",
honey,153,Honey,,Honey,
green pepper,153,"Peppers, capsicum, green, raw",,"Capsicum, green, fresh, raw",
olive,147,"Olives, green, in brine, drained, flesh and skin",,"Olive, green or black, drained",
pecan,146,"Pecan nuts, kernel only",,"Nut, pecan, raw, unsalted",
cabbage,143,"Cabbage, average, raw",,"Cabbage, white, raw",
creme fraiche,141,"Creme fraiche, full fat",,,missing
parsley leaf,140,"Parsley, fresh",,"Parsley, continental, fresh, raw",
avocado,139,"Avocado, average, flesh only",,"Avocado, raw",
thyme leaf,138,"Thyme, fresh",,,missing
coriander seed,138,Coriander seeds,,"Coriander seed, dried, ground",
beet,136,"Beetroot, raw",,"Beetroot, fresh, purple, peeled, raw",
white onion,136,"Onions, raw",,"Onion, mature, white skinned, peeled, fresh, raw",
mustard,134,"Mustard, wholegrain",,,missing
lamb,134,"Lamb, lean only, raw, average",,"Lamb, all cuts, separable fat, raw",
bean,133,,too vague,,too vague
bay leaf,133,"Bay leaf, dried",,,missing
pear,133,"Pears, raw, flesh and skin",,"Pear, green skin, unpeeled, raw",
dry white wine,133,"Wine, white, dry",,"Wine, white",
peanut oil,131,"Oil, peanut (groundnut)",,"Oil, peanut",
red wine vinegar,130,,missing,,missing
sea salt,129,Salt,,"Salt, table, non-iodised",
vinegar,128,Vinegar,,Vinegar (except balsamic vinegar),
goat cheese,127,"Cheese, goats milk, full fat, soft, white rind",,"Cheese, goat, soft",
cilantro leaf,127,"Coriander leaves, fresh",,"Coriander, fresh, leaves & stems",
cumin seed,127,Cumin seeds,,"Cumin (cummin) seed, dried, ground",
mussel,126,"Mussels, raw",,"Mussel, blue, steamed",
cornstarch,123,,missing,"Flour, cornflour, from maize starch",
sour cream,122,,missing,"Cream, sour, regular fat",
orange juice,122,"Orange juice, freshly squeezed",,"Juice, orange, commercial",
arugula,121,"Rocket, raw",,"Rocket, fresh, raw",
sesame oil,118,"Oil, sesame",,,missing
