food,unit,weight
"Apples, eating, raw, flesh and skin",,175
"Aubergine, raw",,572
"Avocado, average, flesh only",,210
"Bananas, flesh only",,151
"Carrots, old, raw",,168
"Cucumber, raw, flesh and skin",,187
"Garlic, raw",clove,5
"Lemons, peeled, flesh only",,99
"Lettuce, average, raw",head,570
"Limes, flesh only",,49
"Mangoes, ripe, raw, flesh only",,274
"Mushrooms, white, raw",,100
"Onions, raw",,130
"Oranges, flesh only",,131
"Pears, raw, flesh and skin",,198
"Pepper, capsicum, red, raw",,275
"Peppers, capsicum, chilli, red, raw",,15
"Peppers, capsicum, green, raw",,278
"Potatoes, old, raw, flesh only",,229
"Spring onions, bulbs and tops, raw",,15
"Tomatoes, standard, raw",,145
