food_code,name,group,protein,fat,carbs,energy,fibre
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",18,5.88,13.24,41.18,307.0,1.2
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",18,4.34,11.27,53.42,330.0,1.4
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",18,6.1,3.7,79.8,377.0,
167515,"George Weston Bakeries, Thomas English Muffins",18,8.0,1.8,46.0,232.0,
167516,"Waffles, buttermilk, frozen, ready-to-heat",18,6.58,9.22,41.05,273.0,2.2
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",18,7.42,9.49,48.39,309.0,2.6
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",18,6.92,9.4,44.16,289.0,2.4
167519,"Waffle, plain, frozen, ready-to-heat, microwave",18,6.71,9.91,45.41,298.0,2.4
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",18,5.1,24.83,64.3,501.0,1.9
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",18,6.08,22.42,64.48,484.0,2.7
167522,"Pie, Dutch Apple, Commercially Prepared",18,2.17,11.5,44.54,290.0,1.6
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",18,5.52,28.74,46.79,468.0,1.4
167524,"Waffles, chocolate chip, frozen, ready-to-heat",18,5.8,10.1,45.68,297.0,1.5
167525,"Tostada shells, corn",18,6.15,23.38,64.43,474.0,5.8
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",18,7.12,17.12,47.84,374.0,0.7
167527,"Bread, pound cake type, pan de torta salvadoran",18,7.06,17.45,51.29,390.0,1.7
167528,"Pastry, Pastelitos de Guava (guava pastries)",18,5.48,18.5,47.76,379.0,2.2
167529,"Crackers, snack, Goya Crackers",18,14.25,13.35,64.35,433.0,3.8
167530,"Crackers, cream, Gamesa Sabrosas",18,7.01,20.37,64.55,484.0,2.4
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",18,7.19,19.5,64.88,464.0,2.4
167532,"Bread, white wheat",18,10.66,2.15,43.91,238.0,9.2
167533,"Bagels, wheat",18,10.2,1.53,48.89,250.0,4.1
167534,"Cream puff, eclair, custard or cream filled, iced",18,4.41,18.52,37.43,334.0,0.9
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",18,8.01,7.58,49.27,297.0,2.4
167536,"Snacks, beef jerky, chopped and formed",23,33.2,25.6,11.0,410.0,1.8
167537,"Snacks, corn-based, extruded, chips, plain",23,6.17,33.36,57.27,539.0,4.0
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",23,7.0,32.7,56.2,523.0,5.2
167539,"Snacks, corn-based, extruded, cones, plain",23,5.8,26.9,62.9,510.0,1.1
167540,"Snacks, fruit leather, pieces",19,1.0,2.68,82.82,359.0,0.0
167541,"Snacks, fruit leather, rolls",19,0.1,3.0,85.8,371.0,0.0
167542,"Snacks, granola bars, hard, plain",23,10.1,19.8,64.4,471.0,5.3
167543,"Snacks, granola bars, hard, almond",23,7.7,25.5,62.0,495.0,4.8
167544,"Snacks, granola bars, soft, uncoated, raisin",23,7.6,17.8,66.4,448.0,4.2
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",23,5.8,24.9,63.8,466.0,3.4
167546,"Candies, honey-combed, with peanut butter",19,8.72,20.18,67.41,473.0,1.9
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",23,10.2,31.1,53.4,508.0,2.8
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",23,9.8,20.0,62.2,432.0,4.2
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",23,7.29,43.55,45.06,583.0,8.1
167550,"Snacks, popcorn, cakes",23,9.7,3.1,80.1,384.0,2.9
167551,"Snacks, popcorn, caramel-coated, with peanuts",23,6.4,7.8,80.7,400.0,3.8
167552,"Snacks, popcorn, caramel-coated, without peanuts",23,3.8,12.8,79.1,431.0,5.2
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",23,4.56,26.14,64.76,502.0,3.2
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",23,6.6,37.0,51.3,547.0,1.2
167555,"Snacks, pretzels, hard, plain, salted",23,10.04,2.93,80.39,384.0,3.4
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",23,7.5,16.7,70.9,457.0,2.4
167557,"Snacks, rice cakes, brown rice, sesame seed",23,7.6,3.8,81.5,392.0,5.4
167558,"Snacks, tortilla chips, plain, white corn, salted",23,7.1,20.68,67.78,472.0,5.4
167559,"Snacks, tortilla chips, nacho cheese",23,7.36,27.42,60.81,519.0,5.1
167560,"Snacks, tortilla chips, ranch-flavor",23,7.19,24.63,62.74,501.0,4.0
167561,"Snacks, trail mix, regular",23,13.8,29.4,44.9,462.0,
167562,"Candies, ALMOND JOY Candy Bar",19,4.13,26.93,59.51,479.0,5.0
167563,"Candies, TWIZZLERS CHERRY BITES",19,2.97,1.7,79.38,338.0,0.1
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",19,2.0,7.5,80.89,388.0,0.2
167565,"Candies, NESTLE, BUTTERFINGER Bar",19,5.4,18.9,72.9,459.0,2.0
167566,"Candies, caramels, chocolate-flavor roll",19,1.59,3.31,87.73,387.0,0.1
167567,"Baking chocolate, unsweetened, liquid",19,12.1,47.7,36.2,472.0,18.1
167568,"Baking chocolate, unsweetened, squares",19,14.32,52.31,28.42,642.0,16.6
167569,"Candies, confectioner's coating, yogurt",19,5.87,27.0,63.94,522.0,0.0
167570,"Candies, confectioner's coating, peanut butter",19,18.3,29.8,46.88,529.0,5.0
167571,"Candies, white chocolate",19,5.87,32.09,59.24,539.0,0.2
167572,"Ice creams, vanilla, light",19,4.78,4.83,29.46,180.0,0.3
167573,"Ice creams, vanilla, rich",19,3.5,16.2,22.29,249.0,0.0
167574,"Desserts, flan, caramel custard, prepared-from-recipe",19,4.53,4.03,22.78,145.0,0.0
167575,"Ice creams, vanilla",19,3.5,11.0,23.6,207.0,0.7
167576,"Ice creams, vanilla, light, soft-serve",19,4.9,2.6,21.8,126.0,0.0
167577,"Sherbet, orange",19,1.1,2.0,30.4,144.0,1.3
167578,"Candies, fudge, peanut butter, prepared-from-recipe",19,3.78,6.59,77.75,387.0,0.7
167579,"Candies, fudge, vanilla, prepared-from-recipe",19,1.05,5.45,82.15,383.0,0.0
167580,"Candies, fudge, vanilla with nuts",19,3.0,13.69,74.61,435.0,0.9
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",19,9.7,34.0,53.0,512.0,9.7
167582,"Candies, NESTLE, BABY RUTH Bar",19,5.4,21.6,64.8,475.0,2.0
167583,"Candies, TWIZZLERS Strawberry Twists Candy",19,2.56,2.32,79.16,348.0,0.0
167584,"Syrups, table blends, pancake, with butter",19,0.0,0.09,72.43,291.0,0.0
167585,"Ice creams, chocolate, light",19,5.0,7.19,25.7,187.0,0.8
167586,"Candies, NESTLE, CHUNKY Bar",19,7.5,27.5,60.4,519.0,2.5
167587,"Candies, milk chocolate",19,7.65,29.66,59.4,535.0,3.4
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",19,2.76,1.7,19.74,105.0,0.0
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk",19,2.9,1.73,18.43,101.0,0.0
167590,"Andrea's, Gluten Free Soft Dinner Roll",18,5.65,8.2,40.24,257.0,2.9
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",18,10.91,15.92,67.18,456.0,7.5
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",18,2.19,17.89,76.03,474.0,2.5
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",18,2.19,18.79,77.34,487.0,0.0
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",18,9.42,18.42,65.81,467.0,2.4
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",18,11.16,17.29,64.7,459.0,3.5
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",18,9.67,18.93,65.11,469.0,3.5
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",18,3.13,10.7,52.83,320.0,3.5
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",18,5.4,8.02,51.15,298.0,5.5
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",18,7.25,9.34,49.09,309.0,4.9
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",18,11.8,11.6,44.29,329.0,11.2
167601,"Van's, Gluten Free, Totally Original Pancakes",18,3.31,4.55,40.32,215.0,1.5
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",11,15.34,1.39,46.24,259.0,36.7
